id_mgn,latitude,longitude,site_id,snow_depth
505,80.05221,-86.6916516,1,0.163
506,80.052225,-86.69166,1,0.183
507,80.05223167,-86.6916583,1,0.064
508,80.05224,-86.6916733,1,0.065
509,80.05225667,-86.6916417,1,0.046
510,80.05226167,-86.6916567,1,0.061
511,80.052285,-86.6916683,1,0.078
512,80.0523,-86.6916916,1,0.067
513,80.052305,-86.6916867,1,0.123
514,80.05232167,-86.6917267,1,0.056
515,80.05233167,-86.69172,1,0.051
516,80.05234833,-86.6917017,1,0.034
517,80.05235833,-86.6917083,1,0.039
518,80.052365,-86.6917083,1,0.046
519,80.05237667,-86.6917316,1,0.016
520,80.05238833,-86.6917217,1,0.015
521,80.0524,-86.69174,1,0.027
522,80.05241,-86.6917484,1,0.019
523,80.05242667,-86.6917383,1,0.022
524,80.05244,-86.6917717,1,0.039
525,80.05245,-86.6917533,1,0.086
526,80.05246167,-86.6917683,1,0.02
527,80.05247,-86.6917933,1,0.051
528,80.052485,-86.6918017,1,0.119
529,80.0525,-86.691805,1,0.14
530,80.05250333,-86.6918033,1,0.146
531,80.05251167,-86.6918467,1,0.13
532,80.052525,-86.6918684,1,0.113
533,80.05253667,-86.6918833,1,0.195
534,80.05254667,-86.6918633,1,0.175
535,80.05256167,-86.6918716,1,0.122
536,80.05257666,-86.6918766,1,0.176
537,80.05259,-86.69188,1,0.26
538,80.05259667,-86.6918833,1,0.133
539,80.05260833,-86.6919016,1,0.112
540,80.05261166,-86.691885,1,0.102
541,80.05263833,-86.6918967,1,0.099
542,80.05264666,-86.6918949,1,0.17
543,80.052655,-86.691925,1,0.184
544,80.05266833,-86.6919166,1,0.153
545,80.05268167,-86.6919483,1,0.112
546,80.05269833,-86.6919566,1,0.076
547,80.05270667,-86.6919566,1,0.098
548,80.052715,-86.69198,1,0.13
549,80.05273,-86.69198,1,0.097
550,80.052745,-86.6919817,1,0.08
551,80.05276667,-86.692,1,0.078
552,80.05277,-86.6920016,1,0.096
553,80.05278,-86.6919984,1,0.08
554,80.05279167,-86.692005,1,0.051
555,80.05280667,-86.6920334,1,0.043
556,80.05282167,-86.6920517,1,0.05
557,80.05285,-86.69205,1,0.068
558,80.05286333,-86.69207,1,0.044
559,80.05288,-86.6920967,1,0.037
560,80.05289,-86.6921217,1,0.04
561,80.052895,-86.69212,1,0.02
562,80.05291167,-86.6921133,1,0.021
563,80.05292833,-86.69212,1,0.023
564,80.05294167,-86.6921617,1,0.024
565,80.052955,-86.6921517,1,0.04
566,80.05296,-86.6921633,1,0.025
567,80.05298333,-86.6921767,1,0.027
568,80.05299167,-86.6921816,1,0.056
569,80.05301167,-86.69224,1,0.038
570,80.05301833,-86.6922266,1,0.065
571,80.053025,-86.6922283,1,0.101
572,80.05304333,-86.69224,1,0.141
573,80.05305167,-86.6922367,1,0.156
574,80.05306833,-86.692265,1,0.127
575,80.05308167,-86.6923034,1,0.102
576,80.05309,-86.6923066,1,0.058
577,80.05310667,-86.6923217,1,0.039
578,80.05312167,-86.69234,1,0.065
579,80.05313833,-86.6923533,1,0.056
580,80.05314833,-86.692365,1,0.057
581,80.05315667,-86.69239,1,0.031
582,80.05317,-86.692405,1,0.03
583,80.05317833,-86.6924101,1,0.032
584,80.05319667,-86.6924433,1,0.127
585,80.05320167,-86.692435,1,0.092
586,80.05321833,-86.6924433,1,0.039
587,80.053235,-86.692465,1,0.03
588,80.05325333,-86.6924983,1,0.068
